typeid,numberchanges,idesessionuuid,kaveversion,triggeredat,triggeredby,duration,activewindow
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",12,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:26:40.8701709+02:00,0,00:00:02.8654085,0Win:vsWindowTypeDocument extensions.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",11,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:26:45.6360871+02:00,0,00:00:02.6482541,0Win:vsWindowTypeDocument extensions.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",8,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:26:48.5388637+02:00,0,00:00:02.0729381,0Win:vsWindowTypeDocument extensions.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",10,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:26:51.2661678+02:00,0,00:00:02.1643287,0Win:vsWindowTypeDocument extensions.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",6,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:26:55.829886+02:00,0,00:00:05.5583357,0Win:vsWindowTypeDocument extensions.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",5,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:27:01.4285489+02:00,0,00:00:08.6425786,0Win:vsWindowTypeDocument extensions.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",5,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:27:10.3506274+02:00,0,00:00:04.4578150,0Win:vsWindowTypeDocument extensions.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",4,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:27:14.905942+02:00,0,00:00:12.8926826,0Win:vsWindowTypeDocument extensions.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",2,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:27:28.7369937+02:00,0,00:00:12.1895972,0Win:vsWindowTypeDocument extensions.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",9,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:27:41.0790901+02:00,0,00:00:02.3340824,0Win:vsWindowTypeDocument extensions.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",7,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:27:44.4651284+02:00,0,00:00:02.3349757,0Win:vsWindowTypeDocument extensions.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",8,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:27:46.9966068+02:00,0,00:00:02.1666235,0Win:vsWindowTypeDocument extensions.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",4,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:27:49.2283211+02:00,0,00:00:02.7413726,0Win:vsWindowTypeDocument extensions.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",2,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:27:52.2275624+02:00,0,00:00:02.5841187,0Win:vsWindowTypeDocument extensions.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",8,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:27:54.9643231+02:00,0,00:00:03.7707030,0Win:vsWindowTypeDocument extensions.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",6,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:28:01.3982366+02:00,0,00:00:02.5983546,0Win:vsWindowTypeDocument extensions.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",3,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:28:04.0501724+02:00,0,00:00:02.3221877,0Win:vsWindowTypeDocument extensions.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",6,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:28:06.3788608+02:00,0,00:00:02.2195318,0Win:vsWindowTypeDocument extensions.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",7,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:28:08.8406062+02:00,0,00:00:02.5164300,0Win:vsWindowTypeDocument extensions.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",7,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:28:21.2199803+02:00,0,00:00:51.2919863,0Win:vsWindowTypeDocument extensions.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",2,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:29:14.5505605+02:00,0,00:00:07.5011489,0Win:vsWindowTypeDocument extensions.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",7,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:29:24.5298661+02:00,0,00:00:02.2870759,0Win:vsWindowTypeDocument extensions.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",5,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:29:26.8244436+02:00,0,00:00:04.1076858,0Win:vsWindowTypeDocument extensions.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",2,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:29:38.1132093+02:00,0,00:00:02.6241428,0Win:vsWindowTypeDocument extensions.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",4,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:29:40.7448492+02:00,0,00:00:02.0653765,0Win:vsWindowTypeDocument extensions.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",5,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:29:42.9495178+02:00,0,00:00:02.3461495,0Win:vsWindowTypeDocument extensions.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",9,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:29:45.7581598+02:00,0,00:00:04.1713762,0Win:vsWindowTypeDocument extensions.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",7,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:29:50.3103302+02:00,0,00:00:02.8637344,0Win:vsWindowTypeDocument extensions.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",4,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:29:58.7150624+02:00,0,00:00:02.2827358,0Win:vsWindowTypeDocument extensions.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",18,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:30:01.6411551+02:00,0,00:00:02.1578989,0Win:vsWindowTypeDocument extensions.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",12,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:30:03.9333363+02:00,0,00:00:02.0389166,0Win:vsWindowTypeDocument extensions.ps1
