profileid,education,position,projectsCourses,projectsPersonal,projectsSharedSmall,projectsSharedMedium,projectsSharedLarge,teamsSolo,teamsSmall,teamsMedium,teamsLarge,codeReviews,programmingGeneral,programmingCSharp,comment,idesessionuuid,kaveversion,triggeredat,triggeredby,activewindow,activedocument
cbd2dd71-d462-4454-8702-ea2689871e00,4,5,0,1,1,1,0,1,0,1,0,2,5,6,,e2fbb5df-72af-4bc3-b0fe-6870ada6116a,0.1010-Default,2016-08-03T07:21:58.3560534+02:00,0,0Win:vsWindowTypeToolWindow Start Page,
cbd2dd71-d462-4454-8702-ea2689871e00,4,5,0,1,1,1,0,1,0,1,0,2,5,6,,78bf682b-c7d7-45be-b4e5-fdeb9f5937e2,0.1010-Default,2016-08-19T16:49:02.8641076+02:00,0,0Win:vsWindowTypeToolWindow Start Page,
8bb0ef9a-85a6-4035-a162-87dc6f42128a,1,1,0,1,0,1,0,1,0,1,0,1,7,7,,9ece42a9-8a7f-4e5b-9c88-422caaa863c0,0.1004-Default,2016-05-10T13:55:19.8575408+02:00,0,0Win:vsWindowTypeToolWindow Event Manager,
8bb0ef9a-85a6-4035-a162-87dc6f42128a,1,1,0,1,0,1,0,1,0,1,0,1,7,7,,e8632925-2cb6-451c-a319-23b61cf74a74,0.1004-Default,2016-05-28T15:57:59.8624113+02:00,0,0Win:vsWindowTypeToolWindow Event Manager,0Doc:CSharp \KaVE.FeedbackProcessor\Intervals\IntervalTransformer.cs
8bb0ef9a-85a6-4035-a162-87dc6f42128a,1,1,0,1,0,1,0,1,0,1,0,1,7,7,,10424d13-96c9-48f2-aa6b-33f062012e6f,0.1009-Default,2016-06-03T14:37:40.1387917+02:00,0,0Win:vsWindowTypeToolWindow Start Page,
8bb0ef9a-85a6-4035-a162-87dc6f42128a,1,1,0,1,0,1,0,1,0,1,0,1,7,7,,097b0c35-e33a-454a-9474-dbbefd632ac2,0.1009-Default,2016-06-13T12:04:19.0584679+02:00,0,0Win:vsWindowTypeToolWindow Start Page,
8bb0ef9a-85a6-4035-a162-87dc6f42128a,1,1,0,1,0,1,0,1,0,1,0,1,7,7,,f4b3ecce-e062-4b9e-a3bf-c234ae860cd7,0.1010-Default,2016-06-28T13:14:02.3398512+02:00,0,0Win:vsWindowTypeToolWindow Start Page,
8bb0ef9a-85a6-4035-a162-87dc6f42128a,1,1,0,1,0,1,0,1,0,1,0,1,7,7,,2b345820-89bd-4aeb-aa79-5f161479f455,0.1010-Default,2016-07-06T11:19:33.1438153+02:00,0,0Win:vsWindowTypeDocument ContractDraftController.cs,0Doc:CSharp \EasyContracts\Controllers\ContractDraftController.cs
8bb0ef9a-85a6-4035-a162-87dc6f42128a,1,1,0,1,0,1,0,1,0,1,0,1,7,7,,21767836-fa6e-4ebf-92d1-20633acfed61,0.1010-Default,2016-07-14T19:24:48.6692813+02:00,0,0Win:vsWindowTypeDocument HiwiController.cs,0Doc:CSharp \src\EasyContracts2\Controllers\API\HiwiController.cs
8bb0ef9a-85a6-4035-a162-87dc6f42128a,1,1,0,1,0,1,0,1,0,1,0,1,7,7,,4b6eb35f-9a62-4ec6-823b-39dd06d95b79,0.1010-Default,2016-07-23T00:44:57.9577128+02:00,0,0Win:vsWindowTypeDocument HiwiController.cs,0Doc:CSharp \src\EasyContracts2\Controllers\API\HiwiController.cs
8bb0ef9a-85a6-4035-a162-87dc6f42128a,1,1,0,1,0,1,0,1,0,1,0,1,7,7,,d2f2d74f-22af-41dd-92c4-a52b34423685,0.1010-Default,2016-07-26T21:13:25.3225707+02:00,0,0Win:vsWindowTypeDocument GroupFilterAttribute.cs,0Doc:CSharp \src\EasyContracts2\Filters\GroupFilterAttribute.cs
8bb0ef9a-85a6-4035-a162-87dc6f42128a,1,1,0,1,0,1,0,1,0,1,0,1,7,7,,06827a78-da4d-4f27-a1a0-1e0c42c47e08,0.1010-Default,2016-07-28T22:48:36.9720452+02:00,0,0Win:vsWindowTypeDocument ContractController.cs,0Doc:CSharp \src\EasyContracts2\Controllers\API\ContractController.cs
f857882c-7faa-48f4-87c6-d9ed85181b9b,2,5,0,0,1,1,0,0,1,0,0,2,0,6,,74022880-d0fc-47e6-ae6b-73d52d763f1f,0.1004-Default,2016-05-11T00:03:46.0191448+02:00,0,0Win:vsWindowTypeToolWindow Package Manager Console,0Doc:CSharp \System.Svg.Render.EPL\SvgTextBaseTranslator.cs
c908df1f-e0d7-4451-9dfe-4bcbbcb6db65,5,5,0,0,0,1,0,0,1,0,0,1,6,6,,6df73eb8-8e6a-444d-b61e-a3168fec8b36,0.1004-Default,2016-05-11T10:03:51.9413579+02:00,0,0Win:vsWindowTypeSolutionExplorer Projektmappen-Explorer,
c908df1f-e0d7-4451-9dfe-4bcbbcb6db65,5,5,0,0,0,1,0,0,1,0,0,1,6,6,,9efa27c9-fe04-49a5-bc70-76e9f35f79fb,0.1004-Default,2016-05-16T11:32:19.7434344+02:00,0,0Win:vsWindowTypeOutput Ausgabe,
c908df1f-e0d7-4451-9dfe-4bcbbcb6db65,5,5,0,0,0,1,0,0,1,0,0,1,6,6,,cfbc739a-8f9f-4517-bc0b-ada43dd17ac4,0.1004-Default,2016-05-28T15:14:07.751962+02:00,0,0Win:vsWindowTypeSolutionExplorer Projektmappen-Explorer,
